1,CHERMAI,CHERMAI,1
2,PADANG BESAR,PADANG BESAR,1
3,TELAGA HAJI LATEH,TELAGA HAJI LATEH,1
4,TELOK,TELOK,1
5,KG. BANAT,KG. BANAT,1
6,KG. TITI BESI,KG. TITI BESI,1
7,PULAU LINCAI,PULAU LINCAI,1
8,BELAT BATU,BELAT BATU,1
9,JELEMPOK,JELEMPOK,1
10,UTAN KANDIS,UTAN KANDIS,1
11,GUAR SANJI,GUAR SANJI,1
12,JELAMPOK UTARA,JELAMPOK UTARA,1
13,KG BAKONG,KG BAKONG,1
14,ALOR BANAT,ALOR BANAT,1
15,BEHOR MEMPELAM,BEHOR MEMPELAM,1
16,BELAT RAJA,BELAT RAJA,1
17,KG. GOBEK,KG. GOBEK,1
18,BEHOR KULIT KERANG,BEHOR KULIT KERANG,2
19,BEHOR ROTAN PAHIT,BEHOR ROTAN PAHIT,2
20,PERMATANG PAUH TIMUR,PERMATANG PAUH TIMUR,2
21,BEHOR LALANG,BEHOR LALANG,2
22,PAK LENGAH,PAK LENGAH,2
23,KG PELADANG A,KG PELADANG A,2
24,KG PELADANG C,KG PELADANG C,2
25,BATU 5,BATU 5,2
26,BANGSAL LEBAH,BANGSAL LEBAH,2
27,TELAGA IDI,TELAGA IDI,2
28,KAMPUNG PELADANG B,KAMPUNG PELADANG B,2
29,KAMPUNG PELADANG A,KAMPUNG PELADANG A,2
30,SG BERAMBANG,SG BERAMBANG,2
31,PERMATANG PAUH BARAT,PERMATANG PAUH BARAT,2
32,GUNUNG,GUNUNG,2
33,BINJAL,BINJAL,2
34,MENGKUANG LAYAR,MENGKUANG LAYAR,2
35,SG BARU UTAN AJI,SG BARU UTAN AJI,2
36,KURUNG TEGAR,KURUNG TEGAR,2
37,SURAU,SURAU,2
38,SENTANG,SENTANG,2
39,BOHOR LATEH,BOHOR LATEH,2
40,MENGKUANG LAYAR B,MENGKUANG LAYAR B,2
41,TANJUNG GELAM,TANJUNG GELAM,2
42,PANGGAU,PANGGAU,3
43,ALOR TOK TERANG,ALOR TOK TERANG,3
44,BEHOR GONCHAR,BEHOR GONCHAR,3
45,TITI TOK BANDAR,TITI TOK BANDAR,3
46,SENA,SENA,3
47,KUBANG GAJAH,KUBANG GAJAH,3
48,JEJAWI BAKONG,JEJAWI BAKONG,3
49,REPOH,REPOH,3
50,ALOR REDIS,ALOR REDIS,3
51,GUAR SYED ALWI,GUAR SYED ALWI,3
52,SG. BAKONG,SG. BAKONG,3
53,TELOK EPA,TELOK EPA,3
54,GUAR UJUNG BATU,GUAR UJUNG BATU,3
55,TOK KUNING,TOK KUNING,3
56,BATU HAMPAR,BATU HAMPAR,3
57,PADANG PETANI,PADANG PETANI,3
58,TANAH TUAKU,TANAH TUAKU,3
59,CHEMUMAR,CHEMUMAR,4
60,CIK OK,CIK OK,4
61,SG BARU U/AJI,SG BARU U/AJI,4
62,LONG BOH,LONG BOH,4
63,SRI GELAM,SRI GELAM,4
64,TAMBUN TULANG,TAMBUN TULANG,4
65,PIDA 3,PIDA 3,4
66,BEHOR MENTALON,BEHOR MENTALON,4
67,LAHAR JAMBU,LAHAR JAMBU,4
68,SEMATANG SERDANG,SEMATANG SERDANG,4
69,KG TEBOK,KG TEBOK,4
70,BANIR TEMBUS,BANIR TEMBUS,5
71,SUNGAI BARU TIMUR,SUNGAI BARU TIMUR,5
72,SPG SANGLANG,SPG SANGLANG,5
73,PAUH KEPALA BATAS,PAUH KEPALA BATAS,5
74,TOK PULAU,TOK PULAU,5
75,BONGOR KUDONG,BONGOR KUDONG,5
76,PERMATANG BONGOR,PERMATANG BONGOR,5
77,PERMATANG KERIANG,PERMATANG KERIANG,5
78,BUNGA EMAS,BUNGA EMAS,5
79,DATO' AHMAD MUSA,DATO' AHMAD MUSA,5
80,PERMATANG KERIANG (B),PERMATANG KERIANG (B),5
81,SUNGAI BARU TENGAH,SUNGAI BARU TENGAH,5
82,SUNGAI PADANG,SUNGAI PADANG,5
83,PAUH TIGA BERADIK,PAUH TIGA BERADIK,5
84,  PAUH KEPALA BATAS,  PAUH KEPALA BATAS,5
85,PADANG KERIA (B),PADANG KERIA (B),5
86,BATAS LINTANG,BATAS LINTANG,5
87,LAT 1000,LAT 1000,5
88,KAMPUNG RAMA,KAMPUNG RAMA,5
89,PERMATANG LIMAU MANIS,PERMATANG LIMAU MANIS,5
90,PADANG BENTA,PADANG BENTA,5
91,BUKIT HANTU,BUKIT HANTU,6
92,PEMATANG KAKA,PEMATANG KAKA,6
93,LINDUNGAN BULAN,LINDUNGAN BULAN,6
94,PIDA 4,PIDA 4,6
95,FIDA 3,FIDA 3,6
96,PULAU SIPUTEH,PULAU SIPUTEH,6
97,MELELE,MELELE,6
98,KODIANG LAMA,KODIANG LAMA,6
99,KANDIS,KANDIS,6
100,FIDA 5,FIDA 5,6
101,MELELE 2,MELELE 2,6
102,PADANG SERA,PADANG SERA,6
103,KODIANG,KODIANG,6
104,MANGGOL BONGOR,MANGGOL BONGOR,6
105,TOK KEPAK PUTAT,TOK KEPAK PUTAT,7
106,FIDA 5 PUTAT,FIDA 5 PUTAT,7
107,FIDA 6 JERLUN,FIDA 6 JERLUN,7
108,PIDA 9 SANGLANG,PIDA 9 SANGLANG,7
109,TOK KEPAK AH,TOK KEPAK AH,7
110,TITI SELANGOR,TITI SELANGOR,7
111,PIDA 3½,PIDA 3½,7
112,PIDA 11 SANGLANG,PIDA 11 SANGLANG,7
113,PIDA 4,PIDA 4,7
114,PIDA 4 PDG PERAHU,PIDA 4 PDG PERAHU,7
115,PIDA 3 TUNJANG,PIDA 3 TUNJANG,7
116,M/BONGOR AH,M/BONGOR AH,7
117,M/BONGOR PUTAT,M/BONGOR PUTAT,7
118,BATU 5 SANGLANG,BATU 5 SANGLANG,7
119,PIDA 7 KEPLU,PIDA 7 KEPLU,7
120,PIDA 2 NIRAI BATIN,PIDA 2 NIRAI BATIN,7
121,PIDA 8 PERING,PIDA 8 PERING,7
122,GOLOK PUTTING,GOLOK PUTTING,7
123,BATU 4 KEPLU,BATU 4 KEPLU,7
124,LUBUK PINANG SANGLANG,LUBUK PINANG SANGLANG,8
125,PADANG GELANGGANG,PADANG GELANGGANG,8
126,BATAS BENGKOK,BATAS BENGKOK,8
127,LUBUK PINANG JERLUN,LUBUK PINANG JERLUN,8
128,LUBUK PINANG AYER HITAM,LUBUK PINANG AYER HITAM,8
129,SEMATANG KERPAN,SEMATANG KERPAN,8
130,BATU 7/ PIDA 13 SANGLANG,BATU 7/ PIDA 13 SANGLANG,8
131,MATANG KERENGGA,MATANG KERENGGA,8
132,MATANG BONGOR,MATANG BONGOR,8
133,TANDOP TANAH,TANDOP TANAH,8
134,LANA BULU,LANA BULU,8
135,AYER HITAM,AYER HITAM,8
136,PIDA 12 SANGLANG,PIDA 12 SANGLANG,8
137,PIDA 14,PIDA 14,8
138,TANDOP TANAH E,TANDOP TANAH E,8
139,LANA BULU JERLUN,LANA BULU JERLUN,8
140,BATU 7,BATU 7,8
141,KG SANGLANG,KG SANGLANG,8
142,BAKAU,BAKAU,8
143,KG KETOL,KG KETOL,9
144,PULAU PAK UBIN,PULAU PAK UBIN,9
145,PDG SEKOLAH,PDG SEKOLAH,9
146,MATANG PINANG,MATANG PINANG,9
147,TELAGA BATU PUTAT,TELAGA BATU PUTAT,9
148,KG IMAM,KG IMAM,9
149,PDG TOK KAYA,PDG TOK KAYA,9
150,PIDA 2 JERAM,PIDA 2 JERAM,9
151,MAGAT DEWA,MAGAT DEWA,9
152,GELONG RAMBAI,GELONG RAMBAI,9
153,PIDA 2 TUNJANG,PIDA 2 TUNJANG,9
154,PADANG LIMAU,PADANG LIMAU,9
155,TOK TAMBAK,TOK TAMBAK,9
156,PULAU KA'IN,PULAU KA'IN,9
157,HUTAN SETALI,HUTAN SETALI,9
158,PULAU MAHARAJA,PULAU MAHARAJA,9
159,KG BAGAN,KG BAGAN,9
160,PIDA 2 MEGAT DEWA,PIDA 2 MEGAT DEWA,9
161,GUAR TANAH RANG,GUAR TANAH RANG,9
162,SEMATANG GELOK B,SEMATANG GELOK B,10
163,SEMATANG KENANG,SEMATANG KENANG,10
164,GERBI,GERBI,10
165,ALOR BIAK,ALOR BIAK,10
166,SEMATANG KONG,SEMATANG KONG,10
167,SIMPANG 3,SIMPANG 3,10
168,TELOK BINASA,TELOK BINASA,10
169,PIDA 4 DELI,PIDA 4 DELI,10
170,PIDA 5 ATAS,PIDA 5 ATAS,10
171,TELUK TEMPURUNG,TELUK TEMPURUNG,10
172,SEMATANG BONGLAI,SEMATANG BONGLAI,10
173,KUBANG SEPAT,KUBANG SEPAT,10
174,SEBERANG ALOR,SEBERANG ALOR,10
175,SMTG GELOK A,SMTG GELOK A,10
176,SEMATANG NIBONG,SEMATANG NIBONG,10
177,TELOK JUNUS,TELOK JUNUS,10
178,KEPALA 20,KEPALA 20,10
179,SEMATANG GUNUNG,SEMATANG GUNUNG,10
180,TOK PULAU,TOK PULAU,10
181,KG BESAR,KG BESAR,10
182,KG HUMA,KG HUMA,10
183,ALOR BIAK B,ALOR BIAK B,10
184,PIDA 5 SEMATANG BONGLAI,PIDA 5 SEMATANG BONGLAI,10
185,SIMPANG 4 KUAR,SIMPANG 4 KUAR,11
186,HUTAN SERDANG,HUTAN SERDANG,11
187,PADANG LALANG,PADANG LALANG,11
188,JERLUN TENGAH,JERLUN TENGAH,11
189,TELOK TUI,TELOK TUI,11
190,KUBANG NIPAH,KUBANG NIPAH,11
191,JERLUN B,JERLUN B,11
192,LUBUK AIR,LUBUK AIR,11
193,TEMPAYAN PECAH,TEMPAYAN PECAH,11
194,KEMBOJA A,KEMBOJA A,11
195,KUAR JAWA,KUAR JAWA,11
196,MATANG PAKU,MATANG PAKU,11
197,SUNGAI DUA,SUNGAI DUA,11
198,KUBANG SIAM,KUBANG SIAM,11
199,ALOR JANGGUS,ALOR JANGGUS,11
200,KUBANG JAWI B,KUBANG JAWI B,11
201,KG RAJA,KG RAJA,12
202,TELOK MALEK,TELOK MALEK,12
203,PAYA PARIT LATEH,PAYA PARIT LATEH,12
204,KG PADANG,KG PADANG,12
205,PADANG BAGAN,PADANG BAGAN,12
206,PULAU PISANG,PULAU PISANG,12
207,PADANG CANGKAT,PADANG CANGKAT,12
208,PADANG RIMBA,PADANG RIMBA,12
209,ALOR KERIANG,ALOR KERIANG,12
210,CHEGAR BARAT,CHEGAR BARAT,12
211,PADANG TEMENGGUNG,PADANG TEMENGGUNG,12
212,PULAU KETAM,PULAU KETAM,12
213,TELOK ARA,TELOK ARA,12
214,TELOK MALEK C,TELOK MALEK C,12
215,KG TANJUNG,KG TANJUNG,12
216,PULAU KECHIK,PULAU KECHIK,12
217,PULAU NYIOR,PULAU NYIOR,12
218,BOHOR,BOHOR,12
219,PULAU TIMBUL,PULAU TIMBUL,12
220,PELUBANG,PELUBANG,13
221,PADANG SEJANA,PADANG SEJANA,13
222,TELAGA BATU,TELAGA BATU,13
223,TITI BESI,TITI BESI,13
224,ALOR GANU,ALOR GANU,13
225,ALOR MADI,ALOR MADI,13
226,SELARONG,SELARONG,13
227,MATANG KONG,MATANG KONG,13
228,SEBERANG CHEGAR,SEBERANG CHEGAR,13
229,PULAU KERENGGA,PULAU KERENGGA,13
230,KOTA RENTANG,KOTA RENTANG,13
231,ALOR GONCHAR,ALOR GONCHAR,13
232,TELOK JAWA,TELOK JAWA,13
233,LUBUK KAWAH,LUBUK KAWAH,13
234,ALOR RAMBAI,ALOR RAMBAI,13
235,ALOR MELINTANG,ALOR MELINTANG,13
236,TANJUNG TOK AMIN,TANJUNG TOK AMIN,13
237,POKOK LANJUT,POKOK LANJUT,13
238,PADANG LALANG,PADANG LALANG,13
239,PADANG ZAKAT,PADANG ZAKAT,13
240,KUBANG TEDUH,KUBANG TEDUH,13
241,SIMPANG TIGA KOTA,SIMPANG TIGA KOTA,13
